name	smarts	keep_atoms	add_atoms	protected_smiles	cleaved_smiles	decoys	policy	decoy_scope
hydroxyl_thiocarbamate	[O;D2;+0:1]-;!@[C;y3;z2;+0](=[S;D1;+0])[N;D3;y0;+0]([C;D1;+0])[C;D1;+0]	[1]	[]	CC(C)OC(=S)N(C)C	CC(C)O	[]	conservative	per_rule
hydroxyl_fmoc	[O;D2;+0:1]-;!@[C;z2;y3;+0](=[O;+0])[O;D2;y0;+0]-[C;D2;y1;z1;+0][C;D3;z1;y0;r5;+0]1[C;a;r6;+0]:2:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D3;+0]:2-[C;a;r6;+0]:3:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;+0]1:3	[1]	[]	CC(C)OC(=O)OCC1C2=CC=CC=C2C2=C1C=CC=C2	CC(C)O	[]	conservative	per_rule
hydroxyl_troc	[O;D2;+0:1]-;!@[C;z2;y3;+0](=[O;+0])[O;D2;y0;+0]-[C;D2;+0][C;D4;y3;+0]([Cl;D1;+0])([Cl;D1;+0])[Cl;D1;+0]	[1]	[]	CC(C)OC(=O)OCC(Cl)(Cl)Cl	CC(C)O	[]	conservative	per_rule
hydroxyl_teoc	[O;D2;+0:1]-;!@[C;z2;y3;+0](=[O;+0])[O;D2;y0;+0]-[C;D2;z1;y1;+0][C;D2;y1;z1;+0][Si;D4;z1;y0;+0]([C;D1;+0])([C;D1;+0])[C;D1;+0]	[1]	[]	CC(C)OC(=O)OCC[Si](C)(C)C	CC(C)O	[]	conservative	per_rule
hydroxyl_alloc	[O;D2;+0:1]-;!@[C;z2;y3;+0](=[O;+0])[O;D2;y0;+0]-[C;D2;z1;y1;+0][C;D2;y0;z2;+0]=[C;D1;+0]	[1]	[]	CC(C)OC(=O)OCC=C	CC(C)O	[]	conservative	per_rule
hydroxyl_tms	[O;D2;+0:1]-;!@[Si;D4;z1;y1;+0]([C;D1;+0])([C;D1;+0])[C;D1;+0]	[1]	[]	CC(C)O[Si](C)(C)C	CC(C)O	"[""CC(C)O[SiH](C)C"",""CC(C)O[Si](C)(C)OC"",""CC(C)O[Si](C)(C)CC""]"	conservative	per_rule
hydroxyl_tes	[O;D2;+0:1]-;!@[Si;D4;z1;y1;+0]([C;D2;y1;z1;+0][C;D1;+0])([C;D2;y1;z1;+0][C;D1;+0])[C;D2;y1;z1;+0][C;D1;+0]	[1]	[]	CC(C)O[Si](CC)(CC)CC	CC(C)O	"[""CC(C)O[SiH](C)C"",""CC(C)O[Si](C)(C)OC""]"	conservative	per_rule
hydroxyl_tbs	[O;D2;+0:1]-;!@[Si;D4;z1;y1;+0]([C;D1;+0])([C;D1;+0])[C;D4;y1;z1;+0]([C;D1;+0])([C;D1;+0])[C;D1;+0]	[1]	[]	CC(C)O[Si](C)(C)C(C)(C)C	CC(C)O	"[""CC(C)O[SiH](C)C"",""CC(C)O[Si](C)(C)OC""]"	conservative	per_rule
hydroxyl_tips	[O;D2;+0:1]-;!@[Si;D4;z1;y1;+0]([C;D3;z1;y1;+0]([C;D1;+0])[C;D1;+0])([C;D3;z1;y1;+0]([C;D1;+0])[C;D1;+0])[C;D3;z1;y1;+0]([C;D1;+0])[C;D1;+0]	[1]	[]	CC(C)O[Si](C(C)C)(C(C)C)C(C)C	CC(C)O	"[""CC(C)O[SiH](C)C"",""CC(C)O[Si](C)(C)OC""]"	conservative	per_rule
hydroxyl_tbdps	[O;D2;+0:1]-;!@[Si;D4;z1;y1;+0]([C;a;r6;+0]:1:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:1)([C;a;r6;+0]:1:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:1)[C;D4;y1;z1;+0]([C;D1;+0])([C;D1;+0])[C;D1;+0]	[1]	[]	CC(C)O[Si](c1ccccc1)(c1ccccc1)C(C)(C)C	CC(C)O	"[""CC(C)O[SiH](C)C"",""CC(C)O[Si](c1ccc(C)cc1)(c1ccccc1)C(C)(C)C""]"	conservative	per_rule
hydroxyl_o_nitrobenzyl	[O;D2;+0:1]-;!@[C;D2;z1;y1;+0]-[C;a;r6;+0]:1:[C;D3;y1;+0]([N+](=[O;+0])[O-]):[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:1	[1]	[]	CC(C)OCc1c(N(=O)=O)cccc1	CC(C)O	"[""CC(C)OC(OC)c1c(N(=O)=O)cccc1""]"	conservative	per_rule
hydroxyl_methoxy_benzyl	[O;D2;+0:1]-;!@[C;D2;z1;y1;+0]-[C;a;r6;+0]:1:[C;D2;+0]:[C;D2;+0]:[C;D3;y1;+0]([O;D2;y0;+0][C;D1;+0]):[C;D2;+0]:[C;D2;+0]:1	[1]	[]	CC(C)OCc1ccc(OC)cc1	CC(C)O	"[""CC(C)OCc1ccc(OCC)cc1"",""CC(C)OCc1cc(OC)ccc1""]"	conservative	per_rule
hydroxyl_dimethoxybenzyl	[O;D2;+0:1]-;!@[C;D2;z1;y1;+0]-[C;a;r6;+0]:1:[C;D3;y1;+0]([O;D2;y0;+0][C;D1;+0]):[C;D2;+0]:[C;D3;y1;+0]([O;D2;y0;+0][C;D1;+0]):[C;D2;+0]:[C;D2;+0]:1	[1]	[]	CC(C)OCc1c(OC)cc(OC)cc1	CC(C)O	[]	conservative	per_rule
hydroxyl_naphthyl	[O;D2;+0:1]-;!@[C;D2;z1;y1;+0]-[C;a;r6;+0]:1:[C;D2;+0]:[C;D3;+0]:2:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D3;+0]:2:[C;D2;+0]:[C;D2;+0]:1	[1]	[]	CC(C)OCC1=CC2=C(C=CC=C2)C=C1	CC(C)O	"[""CC(C)OCc1ccccc1""]"	conservative	per_rule
