	NonProlineAlphaAminoAcid_unprotected	NonProlineAlphaAminoAcid_protected	NonProlineAlphaAminoEster	Acid_SaturatedAliphatic	Acid_UnsaturatedAliphatic	Acid_Aromatic	Acid_Heteroaromatic	XKetoneAromaticFluoride	XKetoneAromaticChloride	XKetoneAromaticBromide	XKetoneAromaticIodide	XKetoneAromaticTriflate	XKetoneAliphaticFluoride	XKetoneAliphaticChloride	XKetoneAliphaticBromide	XKetoneAliphaticIodide	XKetoneAliphaticTriflate	Aldehyde_SaturatedAliphatic	Aldehyde_UnsaturatedAliphatic	Aldehyde_Aromatic	Aldehyde_Heteroaromatic	KetoneAromaticCyclic	KetoneAromaticAcyclic	KetoneAliphaticCyclic	KetoneAliphaticAcyclic	KetoneMixCyclic	KetoneMixAcyclic	Thioketone	Sulfonic_Aliphatic	Sulfonic_Aromatic	Sulphonamide	Thiocarbamate	PhosphoricAcid_SaturatedAliphatic	PhosphoricAcid_UnsaturatedAliphatic	PhosphoricAcid_Aromatic	PhosphoricAcid_Heteroaromatic	Amide	Amide_Aromatic	PhenolHeteroaromatic6membered	PhenolHeteroaromatic5membered	Phenol	PrimaryAlcoholAromatic	PrimaryAlcoholAliphatic	SecondaryAlcoholAromaticCyclic	SecondaryAlcoholAliphaticCyclic	SecondaryAlcoholMixCyclic	SecondaryAlcoholAromaticAcyclic	SecondaryAlcoholAliphaticAcyclic	SecondaryAlcoholMixAcyclic	TertiaryAlcoholCyclic	TertiaryAlcoholAcyclic	SulfinylamineAromatic	SulfinylamineAliphatic	HeterocycleNH	Benzylamine_primary	HeteroBenzylamine_primary	Amine_Primary_SaturatedAliphatic	Amine_Primary_UnsaturatedAliphatic	Amine_Primary_Phe	Amine_Primary_Het6	Amine_Primary_Het5	Amine_Primary_Het6Het5	Amine_Primary_PheHet5	Amine_Primary_Het5Het6	Amine_Primary_Het5Phe	Amine_Primary_Het5Het5	Amine_Primary_PhePhe	Amine_Primary_Het6Phe	Amine_Primary_PheHet6	Amine_Primary_Het6Het6	Amine_AcyclicSecondary_SaturatedAliphatic-SaturatedAliphatic	Amine_AcyclicSecondary_SaturatedAliphatic-UnsaturatedAliphatic	Amine_AcyclicSecondary_SaturatedAliphatic-Aromatic	Amine_AcyclicSecondary_SaturatedAliphatic-Heteroaromatic	Amine_AcyclicSecondary_UnsaturatedAliphatic-UnsaturatedAliphatic	Amine_AcyclicSecondary_UnsaturatedAliphatic-Aromatic	Amine_AcyclicSecondary_UnsaturatedAliphatic-Heteroaromatic	Amine_AcyclicSecondary_Aromatic-Aromatic	Amine_AcyclicSecondary_Aromatic-Heteroaromatic	Amine_AcyclicSecondary_Heteroaromatic-Heteroaromatic	Amine_CyclicSecondary_SaturatedAliphatic-SaturatedAliphatic	Amine_CyclicSecondary_SaturatedAliphatic-UnsaturatedAliphatic	Amine_CyclicSecondary_SaturatedAliphatic-Aromatic	Amine_CyclicSecondary_SaturatedAliphatic-Heteroaromatic	Amine_CyclicSecondary_UnsaturatedAliphatic-UnsaturatedAliphatic	Amine_CyclicSecondary_UnsaturatedAliphatic-Aromatic	Amine_CyclicSecondary_UnsaturatedAliphatic-Heteroaromatic	Amine_CyclicSecondary_Aromatic-Aromatic	Amine_CyclicSecondary_Aromatic-Heteroaromatic	Amine_CyclicSecondary_Heteroaromatic-Heteroaromatic	HydrazineTerminalAromatic	HydrazineTerminalAliphatic	HydrazineTerminalCarbamoyl	HydrazineNonTerminalAromatic	HydrazineNonTerminalAliphatic	HydrazineNonTerminalMix	HydroxyAmidine	HydroxylamineAromatic	HydroxylamineAliphatic	SubstitutedHydroxylamineAromatic	SubstitutedHydroxylamineAliphatic	Hydroxylamine
NonProlineAlphaAminoAcid_unprotected	1	0	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NonProlineAlphaAminoAcid_protected	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NonProlineAlphaAminoEster	1	0	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Acid_SaturatedAliphatic	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acid_UnsaturatedAliphatic	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acid_Aromatic	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acid_Heteroaromatic	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XKetoneAromaticFluoride	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	0	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
XKetoneAromaticChloride	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	0	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
XKetoneAromaticBromide	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	0	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
XKetoneAromaticIodide	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	0	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
XKetoneAromaticTriflate	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	0	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
XKetoneAliphaticFluoride	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	0	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
