rule_name	reaction_class	smarts	atoms_to_keep	atoms_to_add	protected_example	cleaved_example	decoys	h2o	bases	nucleophiles	electrophiles	reduction	oxidation	p_mol
amine_acyl	amine	[N;D2,D3:1]-;!@[C;z2;x2](=O)-[C;D1]	[1]	[]	c1ccccc1NC(=O)C	c1ccccc1N	[]	{'pH < 1, 100°C': 2, 'pH = 1, RT': 0, 'pH = 4, RT': 0, 'pH = 9, RT': 0, 'pH = 12, RT': 1, 'pH > 12, 100°C': 2}	{'LDA': 0, 'NEt3, Py': 0, 't-BuOK': 0, 'DCC': 0, 'SOCl2': 0}	{'RLi': 2, 'RMgX': 1, 'RCuLi': 0, 'Enolates': 0, 'NH3, RNH2': 2, 'NaOCH3': 0}	{'RCOCl': 0, 'RCHO': 0, 'CH3I': 0, ':CCl2': 0, 'Bu3SnH': 0}	{'H2 / Ni': 0, 'H2 / Rh': 0, 'Zn / HCl': 1, 'Na / NH3': 2, 'LiAlH4': 2, 'NaBH4': 0}	{'KMnO4': 0, 'OsO4': 0, 'CrO3 / Py': 0, 'RCOOOH': 0, 'I2, Br2, Cl2': 0, 'MnO2 / CH2Cl2': 0}	CC(=O)Cl
amine_alloc	amine	[N;D2,D3:1]-;!@[C;z2;x3](=O)[O;D2;x0]-[C;D2;z1;x1][C;D2;x0;z2]=[C;D1]	[1]	[]	c1ccccc1NC(=O)OCC=C	c1ccccc1N	"[""c1ccccc1NC(=O)OCC=CC""]"	None	None	None	None	None	None	C=CCOC(=O)Cl
amine_benzhydrylidene	amine	[N;D2:1]=;!@[C;D3;z2;x1](-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1)-[C;a;r6]:2:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:2	[1]	[]	c1ccccc1N=C(c1ccccc1)c1ccccc1	c1ccccc1N	[]	None	None	None	None	None	None	O=C(c1ccccc1)c1ccccc1
amine_benzoate	amine	[N;D2,D3:1]-;!@[C;z2;x2](=O)-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[1]	[]	c1ccccc1NC(=O)c1ccccc1	c1ccccc1N	[]	None	None	None	None	None	None	O=C(Cl)c1ccccc1
amine_benzyl	amine	[N;D2,D3:1]-;!@[C;D2;z1;x1]-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[1]	[]	CC(C)NCc1ccccc1	CC(C)N	[]	{'pH < 1, 100°C': 2, 'pH = 1, RT': 0, 'pH = 4, RT': 0, 'pH = 9, RT': 0, 'pH = 12, RT': 0, 'pH > 12, 100°C': 0}	{'LDA': 0, 'NEt3, Py': 0, 't-BuOK': 0, 'DCC': 0, 'SOCl2': 0}	{'RLi': 0, 'RMgX': 0, 'RCuLi': 0, 'Enolates': 0, 'NH3, RNH2': 0, 'NaOCH3': 0}	{'RCOCl': 0, 'RCHO': 0, 'CH3I': 2, ':CCl2': 0, 'Bu3SnH': 0}	{'H2 / Ni': 2, 'H2 / Rh': 2, 'Zn / HCl': 0, 'Na / NH3': 2, 'LiAlH4': 0, 'NaBH4': 0}	{'KMnO4': 2, 'OsO4': 2, 'CrO3 / Py': 2, 'RCOOOH': 2, 'I2, Br2, Cl2': 0, 'MnO2 / CH2Cl2': 2}	BrCc1ccccc1
amine_benzylidene	amine	[N;D2:1]=;!@[C;D2;z2;x1]-[C;a;r6]:2:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:2	[1]	[]	CC(C)N=Cc1ccccc1	CC(C)N	[]	{'pH < 1, 100°C': 2, 'pH = 1, RT': 2, 'pH = 4, RT': 1, 'pH = 9, RT': 0, 'pH = 12, RT': 1, 'pH > 12, 100°C': 2}	{'LDA': 0, 'NEt3, Py': 0, 't-BuOK': 0, 'DCC': 0, 'SOCl2': 0}	{'RLi': 2, 'RMgX': 2, 'RCuLi': 1, 'Enolates': 0, 'NH3, RNH2': 2, 'NaOCH3': 0}	{'RCOCl': 0, 'RCHO': 0, 'CH3I': 1, ':CCl2': 2, 'Bu3SnH': 2}	{'H2 / Ni': 2, 'H2 / Rh': 2, 'Zn / HCl': 2, 'Na / NH3': 2, 'LiAlH4': 2, 'NaBH4': 1}	{'KMnO4': 2, 'OsO4': 2, 'CrO3 / Py': 2, 'RCOOOH': 2, 'I2, Br2, Cl2': 2, 'MnO2 / CH2Cl2': 2}	O=Cc1ccccc1
amine_bhoc	amine	[N;D2,D3:1]-;!@[C;z2;x3](=O)[O;D2;x0]-[C;D3;z1;x1](-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1)-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[1]	[]	CNC(=O)OC(c1ccccc1)c1ccccc1	CN	[]	None	None	None	None	None	None	O=C(Cl)OC(c1ccccc1)c1ccccc1
amine_boc	amine	[N;D2,D3:1]-;!@[C;z2;x3](=O)-[O;D2;x0]-[C;D4;x1;z1]([C;D1])([C;D1])[C;D1]	[1]	[]	c1ccccc1NC(=O)OC(C)(C)C	c1ccccc1N	[]	{'pH < 1, 100°C': 2, 'pH = 1, RT': 2, 'pH = 4, RT': 0, 'pH = 9, RT': 0, 'pH = 12, RT': 0, 'pH > 12, 100°C': 1}	{'LDA': 0, 'NEt3, Py': 0, 't-BuOK': 0, 'DCC': 0, 'SOCl2': 0}	{'RLi': 2, 'RMgX': 2, 'RCuLi': 0, 'Enolates': 0, 'NH3, RNH2': 0, 'NaOCH3': 0}	{'RCOCl': 0, 'RCHO': 0, 'CH3I': 1, ':CCl2': 0, 'Bu3SnH': 0}	{'H2 / Ni': 0, 'H2 / Rh': 0, 'Zn / HCl': 2, 'Na / NH3': 0, 'LiAlH4': 1, 'NaBH4': 0}	{'KMnO4': 0, 'OsO4': 0, 'CrO3 / Py': 0, 'RCOOOH': 0, 'I2, Br2, Cl2': 0, 'MnO2 / CH2Cl2': 0}	CC(C)(C)OC(=O)OC(=O)OC(C)(C)C
amine_cbz	amine	[N;D2,D3:1]-;!@[C;z2;x3](=O)-[O;D2;x0][C;D2;x1;z1][C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[1]	[]	c1ccccc1NC(=O)OCc2ccccc2	c1ccccc1N	"[""c1ccccc1NC(=O)OC(C)c2ccccc2""]"	{'pH < 1, 100°C': 2, 'pH = 1, RT': 1, 'pH = 4, RT': 0, 'pH = 9, RT': 0, 'pH = 12, RT': 0, 'pH > 12, 100°C': 2}	{'LDA': 0, 'NEt3, Py': 0, 't-BuOK': 0, 'DCC': 0, 'SOCl2': 0}	{'RLi': 2, 'RMgX': 2, 'RCuLi': 0, 'Enolates': 0, 'NH3, RNH2': 2, 'NaOCH3': 0}	{'RCOCl': 0, 'RCHO': 0, 'CH3I': 0, ':CCl2': 0, 'Bu3SnH': 0}	{'H2 / Ni': 2, 'H2 / Rh': 2, 'Zn / HCl': 1, 'Na / NH3': 2, 'LiAlH4': 1, 'NaBH4': 0}	{'KMnO4': 0, 'OsO4': 0, 'CrO3 / Py': 0, 'RCOOOH': 0, 'I2, Br2, Cl2': 0, 'MnO2 / CH2Cl2': 0}	O=C(Cl)OCc1ccccc1
amine_chloro_cbz	amine	[N;D2,D3:1]-;!@[C;z2;x3](=O)-[O;D2;x0][C;D2;x1;z1][C;a;r6]:1:[C;D3;x1]([Cl;D1]):[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[1]	[]	Clc1ccccc1COC(=O)Nc1ccccc1	c1ccccc1N	"[""c1ccccc1NC(=O)OC(C)c2ccccc2""]"	None	None	None	None	None	None	O=C(Cl)OCc1ccccc1Cl
